epoch,loss,accuracy
1,0.5519314408302307,0.8062333464622498
2,0.3584969639778137,0.8738999962806702
3,0.31478455662727356,0.8892833590507507
4,0.28948354721069336,0.8975333571434021
5,0.268420934677124,0.902483344078064
6,0.25132375955581665,0.9087666869163513
7,0.2370273768901825,0.9140833616256714
8,0.22798512876033783,0.9171833395957947
9,0.21459361910820007,0.9212666749954224
10,0.20317965745925903,0.9259999990463257
