step	accuracy
0	0.7770833373069763
1	0.8513166904449463
2	0.8690500259399414
3	0.8795499801635742
4	0.8855166435241699
5	0.8909833431243896
6	0.8963000178337097
7	0.8995833396911621
8	0.9019166827201843
9	0.9049500226974487
